date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:32:21	13311/13311	---M-Z	200	added ('OK')	text/html	date:Wed,%2015%20Nov%202023%2022:06:32%20GMT	https://airjordanshoes.in.net/	C:/wulan4d/airjordanshoes.in.net/index.html	(from )
11:32:21	95/95	---M--	200	added ('OK')	text/plain	date:Thu,%2026%20Oct%202023%2009:53:12%20GMT	https://airjordanshoes.in.net/robots.txt		(from )
11:32:21	284583/284583	---M--	200	added ('OK')	text/javascript	etag:%2220620290c9309704%22	https://cdn.ampproject.org/v0.js	C:/wulan4d/cdn.ampproject.org/v0.js	(from https://airjordanshoes.in.net/)
11:32:22	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2019%20Dec%202023%2004:32:47%20GMT	https://uggsbootscanada.ca/images/WULAN4D_logo.png	C:/wulan4d/uggsbootscanada.ca/images/WULAN4D_logo.1.delayed	(from https://airjordanshoes.in.net/)
11:32:23	1031/1031	---M--	404	error ('Not%20Found')	image/png	date:Tue,%2019%20Dec%202023%2004:32:48%20GMT	https://i.ibb.co/BPVr2SS/11156000645e4f1dbfcb0a7d9affd0ef.jpg	C:/wulan4d/i.ibb.co/BPVr2SS/11156000645e4f1dbfcb0a7d9affd0ef.2.delayed	(from https://airjordanshoes.in.net/)
11:32:23	319/319	---M--	200	added ('OK')	image/png	etag:%2263ecb6aa-13f%22	https://media.fastchecker.us/idnsmedia/is/assets/themes/aagbch/img/favicon.png?v=7.0	C:/wulan4d/media.fastchecker.us/idnsmedia/is/assets/themes/aagbch/img/faviconbbba.png	(from https://airjordanshoes.in.net/)
11:32:24	31364/31364	---M--	200	added ('OK')	text/javascript	etag:%2213e0a16aa728157d%22	https://cdn.ampproject.org/v0/amp-sidebar-0.1.js	C:/wulan4d/cdn.ampproject.org/v0/amp-sidebar-0.1.js	(from https://airjordanshoes.in.net/)
11:32:24	17602/17602	---M--	200	added ('OK')	text/javascript	etag:%2206ef0c30e46eb644%22	https://cdn.ampproject.org/v0/amp-accordion-0.1.js	C:/wulan4d/cdn.ampproject.org/v0/amp-accordion-0.1.js	(from https://airjordanshoes.in.net/)
11:32:25	36574/36574	---M--	200	added ('OK')	text/javascript	etag:%229dbbfb2d40c1c50e%22	https://cdn.ampproject.org/v0/amp-youtube-0.1.js	C:/wulan4d/cdn.ampproject.org/v0/amp-youtube-0.1.js	(from https://airjordanshoes.in.net/)
11:32:26	112721/112721	---M--	200	added ('OK')	text/javascript	etag:%22f62e83b3b94bc414%22	https://cdn.ampproject.org/v0/amp-analytics-0.1.js	C:/wulan4d/cdn.ampproject.org/v0/amp-analytics-0.1.js	(from https://airjordanshoes.in.net/)
11:32:29	8244/8244	---M--	200	added ('OK')	image/png	date:Tue,%2014%20Nov%202023%2020:46:53%20GMT	https://airjordanshoes.in.net/img/ff.png	C:/wulan4d/airjordanshoes.in.net/img/ff.png	(from https://airjordanshoes.in.net/)
11:32:30	306217/306217	---M--	200	added ('OK')	image/jpeg	date:Tue,%2014%20Nov%202023%2020:53:23%20GMT	https://airjordanshoes.in.net/img/nyamuk.jpg	C:/wulan4d/airjordanshoes.in.net/img/nyamuk.jpg	(from https://airjordanshoes.in.net/)
